short_name,region_code,station_id,long_name,label,lat,lon,station_type
Forli',0,S05059,FORLI`,Forlì,44.22413,12.054871,3
Parma,0,S05014,PARMA,Parma,44.810203,10.32837,3
Pavia,0,S01860,PAVIA,Pavia,45.188843,9.144674,3
Gorizia Centrale,0,S03304,GORIZIA CENTRALE,Gorizia,45.933047,13.60684,3
Grosseto,0,S06039,GROSSETO,Grosseto,42.76728,11.1065,3
Latina,0,S08608,LATINA,Latina,41.538372,12.945888,3
Lecce,0,S11145,LECCE,Lecce,40.34566,18.165724,1
Barletta,0,S11108,BARLETTA,,41.315227,16.278867,3
Salerno,0,S09818,SALERNO,Salerno,40.675137,14.772822,1
Napoli Centrale,0,S09218,NAPOLI CENTRALE,Napoli,40.852933,14.272908,1
Cagliari,0,S12891,CAGLIARI,Cagliari,39.216078,9.107984,1
Reggio Emilia,0,S05023,REGGIO EMILIA,Reggio Emilia,44.697793,10.643093,3
Rimini,0,S05071,RIMINI,Rimini,44.064176,12.574093,1
Rovigo,0,S05706,ROVIGO,Rovigo,45.076993,11.780892,3
Perugia,0,S07004,PERUGIA,Perugia,43.103808,12.375567,3
Pesaro,0,S07104,PESARO,Pesaro,43.906014,12.904848,3
Pescara,0,S07810,PESCARA,Pescara,42.467789,14.205066,1
Piacenza,0,S05000,PIACENZA,Piacenza,45.052238,9.70633,1
Pisa Centrale,0,S06500,PISA CENTRALE,Pisa,43.70794,10.398183,1
Benevento,0,S09311,BENEVENTO,Benevento,41.141901,14.769998,3
Modane,0,S00201,MODANE,,45.235247,6.64102,3
Modena,0,S05032,MODENA,Modena,44.654461,10.930373,3
Monfalcone,0,S03310,MONFALCONE,,45.807683,13.542929,2
Frosinone,0,S08662,FROSINONE,Frosinone,41.625333,13.328728,3
Novara,0,S00248,NOVARA,Novara,45.451376,8.624895,3
Olbia,0,S12855,OLBIA,Olbia,40.924595,9.498293,1
Oristano,0,S12878,ORISTANO,Oristano,39.902033,8.603974,1
Orte,0,S08209,ORTE,,42.43728,12.408986,3
Padova,0,S02581,PADOVA,Padova,45.417846,11.880794,1
